session_day,time_utc,time_local,bar_idx_in_day,action,current_position,close,spread,raw_pnl,transaction_cost,net_pnl,mtm_pnl,equity,forced_close
2024-12-20,2024-12-20 11:30:00+00:00,2024-12-20 18:30:00+07:00,570,0,-1,1.03807,17,9.999999999998899,0.0,9.999999999998899,9.999999999998899,9653.999999999995,False
2024-12-20,2024-12-20 11:31:00+00:00,2024-12-20 18:31:00+07:00,571,0,-1,1.03808,17,-0.9999999999843467,0.0,-0.9999999999843467,-0.9999999999843467,9653.000000000011,False
2024-12-20,2024-12-20 11:32:00+00:00,2024-12-20 18:32:00+07:00,572,0,-1,1.0381,19,-2.0000000000131024,0.0,-2.0000000000131024,-2.0000000000131024,9650.999999999998,False
2024-12-20,2024-12-20 11:33:00+00:00,2024-12-20 18:33:00+07:00,573,0,-1,1.0382,18,-9.999999999998899,0.0,-9.999999999998899,-9.999999999998899,9641.0,False
2024-12-20,2024-12-20 11:34:00+00:00,2024-12-20 18:34:00+07:00,574,0,-1,1.03823,17,-2.999999999997449,0.0,-2.999999999997449,-2.999999999997449,9638.000000000002,False
2024-12-20,2024-12-20 11:35:00+00:00,2024-12-20 18:35:00+07:00,575,0,-1,1.038,17,22.999999999995246,0.0,22.999999999995246,22.999999999995246,9660.999999999996,False
2024-12-20,2024-12-20 11:36:00+00:00,2024-12-20 18:36:00+07:00,576,0,-1,1.03804,18,-4.000000000004,0.0,-4.000000000004,-4.000000000004,9656.999999999993,False
2024-12-20,2024-12-20 11:37:00+00:00,2024-12-20 18:37:00+07:00,577,0,-1,1.03811,17,-7.0000000000014495,0.0,-7.0000000000014495,-7.0000000000014495,9649.99999999999,False
2024-12-20,2024-12-20 11:38:00+00:00,2024-12-20 18:38:00+07:00,578,0,-1,1.0382,17,-8.999999999992347,0.0,-8.999999999992347,-8.999999999992347,9640.999999999998,False
2024-12-20,2024-12-20 11:39:00+00:00,2024-12-20 18:39:00+07:00,579,0,-1,1.03817,17,2.999999999997449,0.0,2.999999999997449,2.999999999997449,9643.999999999996,False
2024-12-20,2024-12-20 11:40:00+00:00,2024-12-20 18:40:00+07:00,580,0,-1,1.03809,17,8.000000000008,0.0,8.000000000008,8.000000000008,9652.000000000004,False
2024-12-20,2024-12-20 11:41:00+00:00,2024-12-20 18:41:00+07:00,581,0,-1,1.03794,17,14.999999999987246,0.0,14.999999999987246,14.999999999987246,9666.99999999999,False
2024-12-20,2024-12-20 11:42:00+00:00,2024-12-20 18:42:00+07:00,582,0,-1,1.03796,17,-1.999999999990898,0.0,-1.999999999990898,-1.999999999990898,9665.0,False
2024-12-20,2024-12-20 11:43:00+00:00,2024-12-20 18:43:00+07:00,583,0,-1,1.03791,17,4.999999999988347,0.0,4.999999999988347,4.999999999988347,9669.999999999989,False
2024-12-20,2024-12-20 11:44:00+00:00,2024-12-20 18:44:00+07:00,584,0,-1,1.03785,17,6.000000000017103,0.0,6.000000000017103,6.000000000017103,9676.000000000005,False
2024-12-20,2024-12-20 11:45:00+00:00,2024-12-20 18:45:00+07:00,585,0,-1,1.03766,17,18.999999999991246,0.0,18.999999999991246,18.999999999991246,9694.999999999996,False
2024-12-20,2024-12-20 11:46:00+00:00,2024-12-20 18:46:00+07:00,586,0,-1,1.03767,18,-1.0000000000065512,0.0,-1.0000000000065512,-1.0000000000065512,9693.999999999989,False
2024-12-20,2024-12-20 11:47:00+00:00,2024-12-20 18:47:00+07:00,587,0,-1,1.03762,17,5.000000000010552,0.0,5.000000000010552,5.000000000010552,9699.0,False
2024-12-20,2024-12-20 11:48:00+00:00,2024-12-20 18:48:00+07:00,588,0,-1,1.03767,17,-5.000000000010552,0.0,-5.000000000010552,-5.000000000010552,9693.999999999989,False
2024-12-20,2024-12-20 11:49:00+00:00,2024-12-20 18:49:00+07:00,589,0,-1,1.0376,17,7.0000000000014495,0.0,7.0000000000014495,7.0000000000014495,9700.99999999999,False
2024-12-20,2024-12-20 11:50:00+00:00,2024-12-20 18:50:00+07:00,590,0,-1,1.03768,17,-7.999999999985796,0.0,-7.999999999985796,-7.999999999985796,9693.000000000005,False
2024-12-20,2024-12-20 11:51:00+00:00,2024-12-20 18:51:00+07:00,591,0,-1,1.03778,17,-9.999999999998899,0.0,-9.999999999998899,-9.999999999998899,9683.000000000007,False
2024-12-20,2024-12-20 11:52:00+00:00,2024-12-20 18:52:00+07:00,592,0,-1,1.03777,18,0.9999999999843467,0.0,0.9999999999843467,0.9999999999843467,9683.99999999999,False
