number,value,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_n_steps,params_vf_coef,user_attrs_exposure_time,user_attrs_final_equity,user_attrs_max_drawdown_pct,user_attrs_n_trades,user_attrs_run_id,user_attrs_total_return,user_attrs_total_transaction_cost,user_attrs_win_rate,state,datetime_start,datetime_complete
38,-5.79839950291052,5.059239053284699e-06,0.907522847954448,0.9319895220003591,0.00019393062426774132,83,0.8983545944000729,0.8908035714285715,5364.000000000081,-0.5331054687499953,208,optuna_a2c_t038,-0.4635999999999919,4364.0,0.3181818181818182,COMPLETE,2026-05-15 11:09:09.234182,2026-05-15 11:10:51.471344
39,-68.53376221546725,8.85981024869968e-06,0.933949851649233,0.9913660499432542,3.432261604614805e-05,86,0.9632217402983789,0.924702380952381,-38971.99999999887,-5.551740247605608,2143,optuna_a2c_t039,-4.897199999999887,54977.0,0.21063982746225737,COMPLETE,2026-05-15 11:10:51.483350,2026-05-15 11:12:34.116553
40,-13.132444762235389,1.553925950131692e-05,0.8727466302319206,0.9443297333024022,1.4614138549901977e-05,73,0.9276359002206205,0.9263690476190476,-4056.9999999999463,-1.408407211873686,551,optuna_a2c_t040,-1.4056999999999946,11500.0,0.22413793103448276,COMPLETE,2026-05-15 11:12:34.128535,2026-05-15 11:14:17.837840
41,-20.061898153917163,3.847057850825507e-06,0.9045568768003657,0.9258433914315675,0.0002222329420971557,84,0.8745711726130724,0.914702380952381,-23514.999999999774,-3.4867808798646207,1456,optuna_a2c_t041,-3.3514999999999775,30811.0,0.1788931788931789,COMPLETE,2026-05-15 11:14:17.850819,2026-05-15 11:15:59.873519
42,-60.407529142226544,2.798009883541025e-06,0.8947367784046905,0.913429057419316,0.000117254706789393,82,0.9209868449499513,0.5570535714285715,-27392.999999999647,-4.002630713581046,2066,optuna_a2c_t042,-3.739299999999965,41278.0,0.11025886864813039,COMPLETE,2026-05-15 11:15:59.886509,2026-05-15 11:17:40.544010
43,-31.27451687224571,7.1665226297744885e-06,0.9095361904706731,0.9319819620262584,0.00040835883016240333,90,0.849036096153289,0.23223214285714286,-13741.000000000127,-2.4452040387042646,1072,optuna_a2c_t043,-2.3741000000000128,21443.0,0.1423290203327172,COMPLETE,2026-05-15 11:17:40.557023,2026-05-15 11:19:21.539092
44,-78.15107024256356,3.345568216948545e-05,0.9453024846162079,0.9196622663791953,0.00019137830929720397,78,0.9956522775056974,0.3391369047619048,-30039.999999999985,-4.366580746385753,2178,optuna_a2c_t044,-4.003999999999999,43310.0,0.060218978102189784,COMPLETE,2026-05-15 11:19:21.551099,2026-05-15 11:21:03.742176
45,-18.793998188506805,1.4081847755245155e-05,0.9232855152900555,0.9335575255784089,5.772740086644619e-05,60,0.7831465258568987,0.6229464285714286,-6122.9999999998745,-1.6356935215946733,832,optuna_a2c_t045,-1.6122999999999874,16576.0,0.2511961722488038,COMPLETE,2026-05-15 11:21:03.755176,2026-05-15 11:22:48.852076
46,-42.654095784300274,2.0913633190934684e-06,0.9987934698044872,0.9633799701234264,0.0006574437145601051,69,0.9428544787788906,0.8616964285714286,-26822.99999999955,-3.994975435462192,1829,optuna_a2c_t046,-3.682299999999955,40157.0,0.152324431256182,COMPLETE,2026-05-15 11:22:48.865076,2026-05-15 11:24:32.759551
47,-79.7312240566498,6.4066610432361784e-06,0.9038515375686691,0.9572231606244975,0.0009828725743440366,94,0.8324725829076125,0.5757440476190476,-58822.000000000524,-7.606986409075659,3186,optuna_a2c_t047,-6.8822000000000525,63140.0,0.07967377666248432,COMPLETE,2026-05-15 11:24:32.971056,2026-05-15 11:26:17.242890
48,-38.60880500838764,9.110527527643797e-05,0.9117828906414136,0.9423901644829081,0.00010567400173417146,48,0.8849703232042284,0.8073511904761905,-45501.99999999976,-6.579644389944766,2893,optuna_a2c_t048,-5.550199999999976,57960.0,0.11792774369461487,COMPLETE,2026-05-15 11:26:17.255877,2026-05-15 11:28:01.919886
49,-5.092470979119258,3.818449219425946e-05,0.930733576258624,0.9507054132726769,0.0025112338748952212,98,0.6601044929295051,0.9382142857142857,-9379.999999999769,-1.9188050930460074,928,optuna_a2c_t049,-1.9379999999999766,20168.0,0.09302325581395349,COMPLETE,2026-05-15 11:28:01.932884,2026-05-15 11:29:44.809861
