number,value,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_n_epochs,params_n_steps,params_vf_coef,user_attrs_exposure_time,user_attrs_final_equity,user_attrs_max_drawdown_pct,user_attrs_n_trades,user_attrs_run_id,user_attrs_total_return,user_attrs_total_transaction_cost,user_attrs_win_rate,state,datetime_start,datetime_complete
40,-29.307009568280762,128,0.13266075738704425,0.016932563915902747,0.8919176658264566,0.9416803082207656,2.8269177132350085e-05,13,512,0.9392359129377768,0.5198809523809523,-6709.000000000107,-1.7248271391529952,820,optuna_ppo_t040,-1.670900000000011,15204.0,0.09859154929577464,COMPLETE,2026-05-13 11:23:16.266843,2026-05-13 11:24:44.852565
41,-19.911745693551552,128,0.09412965351625713,0.003984451888317638,0.9706799731993233,0.9478475857932628,0.00015234172280863696,15,512,0.8374343814016515,0.8486904761904762,1392.0000000002942,-0.842319891255064,398,optuna_ppo_t041,-0.8607999999999705,7080.0,0.2561576354679803,COMPLETE,2026-05-13 11:24:44.864576,2026-05-13 11:26:12.883766
42,-16.222992640861463,128,0.09740652860347557,0.0063913388185306156,0.9498722173639025,0.9463769352471186,0.00028860500632975713,17,512,0.8939628529691769,0.8906547619047619,1842.0000000001235,-0.8420282279142582,313,optuna_ppo_t042,-0.8157999999999876,6001.0,0.1744186046511628,COMPLETE,2026-05-13 11:26:12.898276,2026-05-13 11:27:44.271439
43,-7.057142916853519,128,0.11700420696140736,0.00164430309018683,0.978518512347434,0.9587122360811904,7.81114631642391e-05,19,512,0.8075275365474326,0.9114285714285715,7459.000000000233,-0.2690121520971946,182,optuna_ppo_t043,-0.25409999999997673,3251.0,0.34408602150537637,COMPLETE,2026-05-13 11:27:44.284405,2026-05-13 11:29:19.888801
44,-43.11327916333608,128,0.24184352017739266,0.0029459373765832065,0.9336303807453792,0.9440897948081151,0.0001174939507741472,17,2048,0.6981449776894302,0.27601190476190474,-9147.000000000151,-2.064842840512244,1149,optuna_ppo_t044,-1.9147000000000154,20544.0,0.15619694397283532,COMPLETE,2026-05-13 11:29:19.901796,2026-05-13 11:30:52.082137
45,-5.649312843247432,128,0.06947624452003426,0.01022945009339949,0.9449618827805576,0.9322889990098602,0.00018897426457480787,18,512,0.88216355471616,0.9709523809523809,7840.000000000094,-0.23638842894710785,71,optuna_ppo_t045,-0.21599999999999064,1337.0,0.34210526315789475,COMPLETE,2026-05-13 11:30:52.096139,2026-05-13 11:32:23.650920
46,-18.94024507014799,64,0.08810600257353324,0.000488006714943995,0.9899046631597698,0.9367033648482948,5.656642684275644e-05,20,512,0.7645284711654864,0.48470238095238094,2031.9999999999006,-0.785019043588668,401,optuna_ppo_t046,-0.79680000000001,7546.0,0.1822429906542056,COMPLETE,2026-05-13 11:32:23.665920,2026-05-13 11:34:22.479164
47,-7.751491402685594,32,0.11483923355066296,0.005119456959597486,0.9639830414173258,0.9525865417811016,0.009514745498470664,12,512,0.9603017837922058,0.9502380952380952,7085.999999999944,-0.33546697701484174,177,optuna_ppo_t047,-0.29140000000000565,3956.0,0.35398230088495575,COMPLETE,2026-05-13 11:34:22.491166,2026-05-13 11:36:29.145469
48,-17.53586532057798,128,0.16304423428701276,0.026203832868752077,0.9916405509222326,0.9649177329324125,0.00035248125469331193,9,2048,0.8280333594825668,0.7619047619047619,3618.0000000001755,-0.6125093713183921,407,optuna_ppo_t048,-0.6381999999999824,7463.0,0.3142857142857143,COMPLETE,2026-05-13 11:36:29.157471,2026-05-13 11:37:52.266673
49,-14.749511549113771,256,0.13813022867152774,0.0022484446081740693,0.9752736247191073,0.9778625875150285,0.00015537993354649546,15,512,0.5876006172909889,0.5257142857142857,6294.000000000118,-0.38178960809349666,272,optuna_ppo_t049,-0.37059999999998816,4812.0,0.41911764705882354,COMPLETE,2026-05-13 11:37:52.280673,2026-05-13 11:39:15.041838
